,Year,"Average global CapEx, $/KW"
0,2021,3279.694093154669
1,2022,3137.14129600097
2,2023,3069.966897854328
3,2024,2991.0120486370492
4,2025,2902.5014874302155
5,2026,2817.319751804657
6,2027,2768.0429844471983
7,2028,2723.5940243343184
8,2029,2705.76156700762
9,2030,2664.1736690221246
10,2031,2648.758852362138
11,2032,2633.050897667969
12,2033,2623.402356977602
13,2034,2613.278035557103
14,2035,2604.5255627058445
