Year,"Average global CapEx, $/KW"
2021,3279.694093154671
2022,3137.141296000973
2023,3069.966897854332
2024,2991.0120486370533
2025,2902.501487430221
2026,2817.319751804663
2027,2768.0429844472055
2028,2723.5940243343252
2029,2705.761567007627
2030,2664.173669022132
2031,2648.7588523621453
2032,2633.0508976679766
2033,2623.40235697761
2034,2613.278035557111
2035,2604.5255627058527
