Year,"Average global CapEx, $/KW"
2021,3478.7872556972084
2022,3091.225746443447
2023,2906.826096918159
2024,2787.6214050694757
2025,2700.4068565305984
2026,2632.0807285125325
2027,2576.165341582569
2028,2528.9978906683946
2029,2488.311884124289
2030,2452.610596455198
2031,2420.855703366875
2032,2392.2984716147685
2033,2366.3818735308537
2034,2342.680702641333
2035,2320.863297103191
